population_slot,disposition,status_url,status_id,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,issue_families,stakeholder_groups,access_time_replies,access_time_reposts,access_time_likes,note
RECOVERED-076,recovered,https://x.com/CallNYCapp/status/732752376709447680,732752376709447680,2016-05-18T01:59:15.000Z,CallNYCapp,project-post,posts,https://t.co/rswa2xGz1k -> http://callnyc.org/sanitation/recycling.html,@CallNYCapp | @ElizCrowleyNYC | @NYCCouncil,#Recycling | #CallNYC,parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-077,recovered,https://x.com/CallNYCapp/status/732928060635373569,732928060635373569,2016-05-18T13:37:21.000Z,CallNYCapp,project-post,posts,https://t.co/d7ArO9ggzv -> http://callnyc.org/health/hospital-facility-or-clinic.html,@CallNYCapp | @MarkTreyger718 | @NYCCouncil,#HospitalFacility | #CallNYC,health-and-safety,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-078,recovered,https://x.com/CallNYCapp/status/732959093225345024,732959093225345024,2016-05-18T15:40:40.000Z,CallNYCapp,project-post,posts,,@CallNYCapp | @HelenRosenthal | @RentJustice | @galeabrewer | @CoreyinNYC | @DanGarodnick | @MarkLevineNYC | @GoddardRiv,#RentStabilized | #RentGuidelinesBoard,housing-and-tenants,"New York City Council members and offices | city agencies and executive offices | legal, housing, and service organizations",0,0,1,
RECOVERED-079,recovered,https://x.com/CallNYCapp/status/733027856025047041,733027856025047041,2016-05-18T20:13:54.000Z,CallNYCapp,project-post,posts,https://t.co/llG6NvBbg5 -> http://callnyc.org/housing-and-buildings/emergency-repairs.html,@CallNYCapp | @RosieMendez | @NYCCouncil,#EmergencyRepairs | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,2,3,
RECOVERED-080,recovered,https://x.com/CallNYCapp/status/733063600152141825,733063600152141825,2016-05-18T22:35:56.000Z,CallNYCapp,project-post,posts,https://t.co/VhFe6Rlsgt -> http://callnyc.org/housing-and-buildings/rent-overcharges.html,@CallNYCapp | @ydanis | @NYCCouncil,#RentOvercharges | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-081,recovered,https://x.com/ydanis/status/733089563334299648,733089563334299648,2016-05-19T00:19:06.000Z,ydanis,project-repost,posts,,@ydanis | @CallNYCapp | @NYCCouncil,#RentOvercharges | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,3,
RECOVERED-082,recovered,https://x.com/CallNYCapp/status/733387247362379777,733387247362379777,2016-05-19T20:02:00.000Z,CallNYCapp,project-post,posts,https://t.co/U2jumuuuMK -> http://callnyc.org/finance/scrie.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#SCRIE | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-083,recovered,https://x.com/CallNYCapp/status/733388862806982656,733388862806982656,2016-05-19T20:08:25.000Z,CallNYCapp,project-reply,posts,https://t.co/hbYVTNLDAJ -> http://nyc.gov/rentfreeze || https://t.co/wjTEKDJRnR -> https://youtube.com/watch?v=vwpGGRK4JgA -> https://www.youtube.com/watch?v=vwpGGRK4JgA,@CallNYCapp | @NYCSeniors | @HelenRosenthal | @NYCCouncil,#SCRIE | #RentFreeze,housing-and-tenants,New York City Council members and offices | Council institution | city agencies and executive offices,0,0,0,
RECOVERED-084,recovered,https://x.com/RosieMendez/status/733410096915550208,733410096915550208,2016-05-19T21:32:47.000Z,RosieMendez,project-repost,posts,,@RosieMendez | @Fadonna | @EvillPunki | @shyviviana | @CarlinaRivera | @CallNYCapp | @NYCCouncil,#TeamRosie | #EmergencyRepairs | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,3,3,
RECOVERED-085,recovered,https://x.com/CarlinaRivera/status/733440491673489408,733440491673489408,2016-05-19T23:33:34.000Z,CarlinaRivera,project-repost,posts,,@CarlinaRivera | @CallNYCapp | @RosieMendez | @NYCCouncil,#NYCtenants | #EmergencyRepairs | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-086,recovered,https://x.com/CallNYCapp/status/733649303223336960,733649303223336960,2016-05-20T13:23:19.000Z,CallNYCapp,project-post,posts,https://t.co/eaopIEuKTI -> http://callnyc.org/transportation/sidewalks.html,@CallNYCapp | @NYCGreenfield | @NYCCouncil,#Sidewalks | #ImWalkinHere,transportation-and-streets,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-087,recovered,https://x.com/CallNYCapp/status/734492930262585344,734492930262585344,2016-05-22T21:15:35.000Z,CallNYCapp,project-post,posts,https://t.co/ZydpCtAgvM -> http://callnyc.org/legal-services/housing.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#Housing | #LegalServices | #CallNYC,housing-and-tenants | immigration-and-legal-services,New York City Council members and offices | Council institution,0,2,4,
RECOVERED-088,recovered,https://x.com/CallNYCapp/status/734897908353470464,734897908353470464,2016-05-24T00:04:49.000Z,CallNYCapp,project-post,posts,https://t.co/tq0BISDhHW -> http://callnyc.org/transportation/parking-permits.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#ParkingPermits | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,0,2,
RECOVERED-089,recovered,https://x.com/CallNYCapp/status/735214806249144320,735214806249144320,2016-05-24T21:04:04.000Z,CallNYCapp,project-post,posts,https://t.co/EZNfChqkZ9 -> http://callnyc.org/transportation/speed-bump-request.html,@CallNYCapp | @JimmyVanBramer | @NYCCouncil,#SpeedBumpRequest | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-090,recovered,https://x.com/CallNYCapp/status/735644754340401152,735644754340401152,2016-05-26T01:32:31.000Z,CallNYCapp,project-post,posts,https://t.co/eZOLTVq7Dd -> http://callnyc.org/transportation/street-signs.html,@CallNYCapp | @StevenMatteo | @NYCCouncil,#StreetSigns | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-091,recovered,https://x.com/CallNYCapp/status/735914869782904832,735914869782904832,2016-05-26T19:25:52.000Z,CallNYCapp,project-post,posts,https://t.co/WrNWyaz9jp -> http://callnyc.org/housing-and-buildings/senior-housing.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#SeniorHousing | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-092,recovered,https://x.com/CallNYCapp/status/736904163414675456,736904163414675456,2016-05-29T12:56:58.000Z,CallNYCapp,project-post,posts,https://t.co/VVY0b0qR3v -> http://callnyc.org/housing-and-buildings/nycha-misc.html,@CallNYCapp | @MMViverito | @NYCCouncil,#NYCHAMisc | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-093,recovered,https://x.com/CallNYCapp/status/738115545002807296,738115545002807296,2016-06-01T21:10:34.000Z,CallNYCapp,project-post,posts,https://t.co/BJ0kKbfsHS -> http://callnyc.org/immigration/green-card.html,@CallNYCapp | @RLEspinal | @NYCCouncil,#GreenCard | #CallNYC,immigration-and-legal-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-094,recovered,https://x.com/CallNYCapp/status/738140834973900800,738140834973900800,2016-06-01T22:51:03.000Z,CallNYCapp,project-post,posts,https://t.co/FM6CIEx4Ih -> http://callnyc.org/transportation/access-a-ride.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#AccessARide | #CallNYC,transportation-and-streets,New York City Council members and offices | Council institution,0,5,4,
RECOVERED-095,recovered,https://x.com/CallNYCapp/status/738458056716091392,738458056716091392,2016-06-02T19:51:35.000Z,CallNYCapp,project-post,posts,https://t.co/MIOl6874Ns -> http://callnyc.org/housing-and-buildings/building-maintenance.html,@CallNYCapp | @HelenRosenthal | @NYCCouncil,#BuildingMaintenance | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,0,1,
RECOVERED-096,recovered,https://x.com/CallNYCapp/status/748532929802997760,748532929802997760,2016-06-30T15:05:32.000Z,CallNYCapp,project-post,posts,https://t.co/y8HNgKVmZy -> http://callnyc.org/environment/street-flooding.html,@CallNYCapp | @StevenMatteo | @NYCCouncil,#StreetFlooding | #CallNYC,transportation-and-streets | parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,1,1,
RECOVERED-097,recovered,https://x.com/CallNYCapp/status/753631998221033472,753631998221033472,2016-07-14T16:47:24.000Z,CallNYCapp,project-post,posts,https://t.co/7mstGHrKt3 -> http://callnyc.org/finance/tax-preparation-assistance.html,@CallNYCapp | @CMReynoso34 | @NYCCouncil,#TaxPrep | #CallNYC,jobs-and-economic-support,New York City Council members and offices | Council institution,0,2,4,
RECOVERED-098,recovered,https://x.com/CallNYCapp/status/753678962501390336,753678962501390336,2016-07-14T19:54:01.000Z,CallNYCapp,project-post,posts,https://t.co/kb8YHzN1dC -> http://callnyc.org/housing-and-buildings/nycha-building-maintenance.html,@CallNYCapp | @MMViverito | @NYCHA | @NYCCouncil,#CallNYC,housing-and-tenants,New York City Council members and offices | Council institution | city agencies and executive offices,0,0,0,
RECOVERED-099,recovered,https://x.com/CallNYCapp/status/773637656555163648,773637656555163648,2016-09-07T21:42:45.000Z,CallNYCapp,project-post,posts,https://t.co/grEZDUYGgo -> http://callnyc.org/housing-and-buildings/affordable-housing-apartment.html,@CallNYCapp | @JulissaFerreras | @NYCCouncil,#AffordableHousing | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution,0,1,0,
RECOVERED-100,recovered,https://x.com/CallNYCapp/status/775370427644411904,775370427644411904,2016-09-12T16:28:10.000Z,CallNYCapp,project-post,posts,https://t.co/kb8YHA4CCc -> http://callnyc.org/housing-and-buildings/nycha-building-maintenance.html,@CallNYCapp | @JimmyVanBramer | @NYCCouncil,#NYCHABuildingMaintenance,housing-and-tenants,New York City Council members and offices | Council institution,0,2,4,
RECOVERED-101,recovered,https://x.com/CallNYCapp/status/776509377897500672,776509377897500672,2016-09-15T19:53:57.000Z,CallNYCapp,project-post,posts,https://t.co/R9Bx3XvJ6X -> http://callnyc.org/general-welfare/food-stamps.html,@CallNYCapp | @JulissaFerreras | @NYCCouncil,#FoodStamps | #CallNYC,benefits-and-social-services,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-102,recovered,https://x.com/HelenRosenthal/status/780797474277511170,780797474277511170,2016-09-27T15:53:19.000Z,HelenRosenthal,project-repost,posts,https://t.co/2uxB0ADLpY -> http://callnyc.org,@HelenRosenthal | @NYCCouncil | @MFYLegal | @GoddardRiv | @HousingConCoord,,housing-and-tenants,"New York City Council members and offices | Council institution | legal, housing, and service organizations",0,2,2,
RECOVERED-103,recovered,https://x.com/CallNYCapp/status/783022174890229760,783022174890229760,2016-10-03T19:13:28.000Z,CallNYCapp,project-post,posts,https://t.co/4dT9nvJtsb -> http://callnyc.org/housing-and-buildings/hpd-housing-lottery.html,@CallNYCapp | @CMMathieuEugene | @NYCCouncil | @NYCHousing,#HPDHousingLottery | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution | city agencies and executive offices,0,1,1,
RECOVERED-104,recovered,https://x.com/CMMathieuEugene/status/783305320508514304,783305320508514304,2016-10-04T13:58:36.000Z,CMMathieuEugene,project-repost,posts,,@CMMathieuEugene | @CallNYCapp | @NYCCouncil | @NYCHousing,#housing | #HPDHousingLottery | #CallNYC,housing-and-tenants,New York City Council members and offices | Council institution | city agencies and executive offices,0,1,1,
RECOVERED-105,recovered,https://x.com/CallNYCapp/status/783410245632655364,783410245632655364,2016-10-04T20:55:32.000Z,CallNYCapp,project-post,posts,https://t.co/xRaVn9NchH -> http://callnyc.org/environment/water-quality.html,@CallNYCapp | @ChaimDeutsch | @NYCCouncil,#WaterQuality | #CallNYC,parks-environment-and-sanitation,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-106,recovered,https://x.com/wowlist/status/796473557387575297,796473557387575297,2016-11-09T22:04:28.000Z,wowlist,project-repost,posts,https://t.co/D6udDGJ7Um -> https://wowlist.org/DownWithTrump,@wowlist,#DownWithTrump,culture-and-community,community and cultural networks,0,5,6,
RECOVERED-107,recovered,https://x.com/wowlist/status/798274424763981824,798274424763981824,2016-11-14T21:20:28.000Z,wowlist,project-repost,posts,https://t.co/O1euiAdPmX -> http://popular.vote,@wowlist,#NotMyPresident | #WeAreThePopularVote,culture-and-community,community and cultural networks,0,3,3,
UNRECOVERED-01,not-recovered,,,,,,,,,,,,,,,"Counted by the profile total but not exposed as a unique status object in authenticated Posts, Replies, date-bounded live search, or the Internet Archive status-URL index at review time."
UNRECOVERED-02,not-recovered,,,,,,,,,,,,,,,"Counted by the profile total but not exposed as a unique status object in authenticated Posts, Replies, date-bounded live search, or the Internet Archive status-URL index at review time."
UNRECOVERED-03,not-recovered,,,,,,,,,,,,,,,"Counted by the profile total but not exposed as a unique status object in authenticated Posts, Replies, date-bounded live search, or the Internet Archive status-URL index at review time."
